title,artist,link
"Temple Cottage, Temple, View of Garden",Sir William George Gillies Temple Cottage,https://collections.ed.ac.uk/art/record/99221?highlight=*:*
Lepidopterists (1951),Valerie A. Cockburn ,https://collections.ed.ac.uk/art/record/122822?highlight=*:*
Untitled (1994),Sara Ogilvie Untitled ,https://collections.ed.ac.uk/art/record/21961?highlight=*:*
Untitled - City Highrise (Feb 1962),William Gillon Untitled - City Highrise ,https://collections.ed.ac.uk/art/record/99482?highlight=*:*
Unknown (1962),Carol Handyside Unknown ,https://collections.ed.ac.uk/art/record/50480?highlight=*:*
Untitled (1963),Ruth Walker Untitled ,https://collections.ed.ac.uk/art/record/22017?highlight=*:*
The Sun Dissolves while Man Looks Away from the Unborn Child Mesmerized by the New Technologies,Eduardo Luigi Paolozzi KBE,https://collections.ed.ac.uk/art/record/21703?highlight=*:*
Seated Female Nude (1954),Leslie Drummond Seated Female Nude ,https://collections.ed.ac.uk/art/record/21259?highlight=*:*
Light Around Limbo (2016),Joseph Glover Light Around Limbo ,https://collections.ed.ac.uk/art/record/99263?highlight=*:*
Jug,Emma Gillies Jug,https://collections.ed.ac.uk/art/record/53740?highlight=*:*
Bearded Man Sitting (Circa 1973),Catherine A. MacLean Bearded Man Sitting ,https://collections.ed.ac.uk/art/record/22621?highlight=*:*
Self Portrait,Claudia Petretti Self Portrait,https://collections.ed.ac.uk/art/record/122706?highlight=*:*
Head of a Woman (1948),Gavin Stuart Head of a Woman ,https://collections.ed.ac.uk/art/record/20827?highlight=*:*
Male Model (Circa 1966),James H. Fairgrieve Male Model ,https://collections.ed.ac.uk/art/record/122819?highlight=*:*
Untitled - Still Life of Kitchen Table in Orange (1963),William O. Little Untitled - Still Life of Kitchen Table in Orange ,https://collections.ed.ac.uk/art/record/99269?highlight=*:*
Portrait of a Man (1970),Karol Prentice Portrait of a Man ,https://collections.ed.ac.uk/art/record/122735?highlight=*:*
Unknown (1968),Paul Youngs Unknown ,https://collections.ed.ac.uk/art/record/53591?highlight=*:*
Untitled (1962),Deborah Eadie Untitled ,https://collections.ed.ac.uk/art/record/112447?highlight=*:*
Still Life with Blue Jug,Steiga Still Life with Blue Jug,https://collections.ed.ac.uk/art/record/122794?highlight=*:*
Still Life with Slice of Melon (1957),Alexander S Campbell Still Life with Slice of Melon ,https://collections.ed.ac.uk/art/record/122916?highlight=*:*
Untitled (Unknown),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21838?highlight=*:*
Sleeping Female Nude (1950),Alexander F Mitchell Sleeping Female Nude ,https://collections.ed.ac.uk/art/record/21057?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1957 (1993-1994),Jane Watt Opuntia Basilaris Engelmann and Bigelow ,https://collections.ed.ac.uk/art/record/99459?highlight=*:*
Abstract City Landscape (1967),Christine Watson Abstract City Landscape ,https://collections.ed.ac.uk/art/record/53609?highlight=*:*
Untitled - Men and Fishing Nets (1963),Ann F Ward Untitled - Men and Fishing Nets ,https://collections.ed.ac.uk/art/record/99345?highlight=*:*
Unknown,Unknown Unknown,https://collections.ed.ac.uk/art/record/53540?highlight=*:*
The Canteen (1947),Marjorie B. Wallace The Canteen ,https://collections.ed.ac.uk/art/record/122778?highlight=*:*
Teacup,Emma Gillies Teacup,https://collections.ed.ac.uk/art/record/53638?highlight=*:*
Posts in the Landscape (01 MAY 1985),Allison E Sharpe Posts in the Landscape ,https://collections.ed.ac.uk/art/record/21469?highlight=*:*
Unknown (1954),John P Busby Unknown ,https://collections.ed.ac.uk/art/record/50570?highlight=*:*
Figures and Sunshine (1962),Leon Francesco Morrocco Figures and Sunshine ,https://collections.ed.ac.uk/art/record/21400?highlight=*:*
Untitled (1980),Unknown Untitled ,https://collections.ed.ac.uk/art/record/99824?highlight=*:*
Dish,Emma Gillies Dish,https://collections.ed.ac.uk/art/record/53731?highlight=*:*
Portrait - Girl (1946),Dorothy M. Peach Portrait - Girl ,https://collections.ed.ac.uk/art/record/22707?highlight=*:*
Reclining Male Nude (1954),David Ewans Reclining Male Nude ,https://collections.ed.ac.uk/art/record/21252?highlight=*:*
East Frieze of the Parthenon Frieze (1836-1837),East Frieze of the Parthenon Frieze ,https://collections.ed.ac.uk/art/record/20687?highlight=*:*
Standing Female Nude (1953),Eileen Duncan Standing Female Nude ,https://collections.ed.ac.uk/art/record/20929?highlight=*:*
The Sofa (1950),Zygmunt Bukowski The Sofa ,https://collections.ed.ac.uk/art/record/122805?highlight=*:*
Slaughter House (1959),James C. Y. Gavin Slaughter House ,https://collections.ed.ac.uk/art/record/122887?highlight=*:*
Untitled - Woman with Bun (1963),Iona Murray Untitled - Woman with Bun ,https://collections.ed.ac.uk/art/record/99401?highlight=*:*
Untitled - Woman and Man (1981),Kirsty A Kirkwood Untitled - Woman and Man ,https://collections.ed.ac.uk/art/record/99439?highlight=*:*
Horse,Emma Gillies Horse,https://collections.ed.ac.uk/art/record/53756?highlight=*:*
Male Portrait (1969),Elizabeth E. Eastmond Male Portrait ,https://collections.ed.ac.uk/art/record/22690?highlight=*:*
Seated Male Nude (1953),Ian Short Seated Male Nude ,https://collections.ed.ac.uk/art/record/20941?highlight=*:*
Drawing of a Woman (12 NOV 1960),Sheila Percival Drawing of a Woman ,https://collections.ed.ac.uk/art/record/20991?highlight=*:*
Head of a Woman Wearing Beads (1952),Frances Walker Head of a Woman Wearing Beads ,https://collections.ed.ac.uk/art/record/20846?highlight=*:*
The Misadventure (1989),John Brown The Misadventure ,https://collections.ed.ac.uk/art/record/99468?highlight=*:*
Sweden - boats tied up at quayside (1963),Ann F Ward Sweden - boats tied up at quayside ,https://collections.ed.ac.uk/art/record/99348?highlight=*:*
Chinese sleeveband. waves,Unknown Chinese sleeveband. waves,https://collections.ed.ac.uk/art/record/102703?highlight=*:*
100 Billion Suns (2012),Katie Paterson ,https://collections.ed.ac.uk/art/record/21002?highlight=*:*
Unknown (MAR 1960),John Gilbert Unknown ,https://collections.ed.ac.uk/art/record/53492?highlight=*:*
Unknown (1949),Margaret Moodie Unknown ,https://collections.ed.ac.uk/art/record/50492?highlight=*:*
Composition with Design Scratched in Plaster (1974),Margaret S. Clyde Composition with Design Scratched in Plaster ,https://collections.ed.ac.uk/art/record/122912?highlight=*:*
